"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","TSUN","WDFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-14",,"0.00",,"78","58",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-15",,"0.00",,"67","55",,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-16",,"0.67",,"78","58",,,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-17",,"0.00",,"74","58",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-18",,"0.04",,"70","59",,,,,,,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-19",,"0.00",,"68","59",,,,,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-20",,"0.00",,"81","61",,,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-21",,"0.01",,"84","63",,,"    1",,"    1",,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-22",,"0.00",,"73","59",,,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-23",,"0.00",,"73","58",,,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-24",,"0.00",,"82","61",,,"    1","    1","    1",,,,,"    1",,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-25",,"0.00",,"61","54",,,,,"    1",,,,,,,,,,,"    1",,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-26",,"0.00",,"66","54",,,,,,,,,,,,,,,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1975-05-27",,"0.00",,"85","64",,,"    1",,,,,,,"    1",,,,,,,,,,,
